1 0
2 1
3 2
4 4
5 6
6 15
7 12
8 16
9 18
10 27
11 40
12 28
13 44
14 35
15 57
16 50
17 59
18 53
19 71
20 61
21 76
22 76
23 74
24 104
25 99
26 97
27 121
28 134
29 116
30 140
31 149
32 115
33 171
34 154
35 170
36 175
37 159
38 163
39 201
40 167
41 181
42 178
43 199
44 219
45 219
46 322
47 208
48 211
49 264
50 259
51 261
52 280
53 257
54 307
55 382
56 322
57 284
58 366
59 338
60 342
61 352
62 327
63 325
64 382
65 414
66 364
67 473
68 466
69 448
70 422
71 411
72 433
73 381
74 474
75 441
76 467
77 423
78 433
79 489
80 477
81 464
82 467
83 467
84 623
85 578
86 481
87 490
88 597
89 512
90 488
91 553
92 513
93 547
94 560
95 632
96 653
97 546
98 739
99 649
100 598

