1 0
2 1
3 2
4 4
5 6
6 8
7 10
8 13
9 16
10 19
11 22
12 25
13 28
14 31
15 34
16 38
17 42
18 46
19 50
20 54
21 58
22 62
23 66
24 70
25 74
26 78
27 82
28 86
29 90
30 94
31 98
32 103
33 108
34 113
35 118
36 123
37 128
38 133
39 138
40 143
41 148
42 153
43 158
44 163
45 168
46 173
47 178
48 183
49 188
50 193
51 198
52 203
53 208
54 213
55 218
56 223
57 228
58 233
59 238
60 243
61 248
62 253
63 258
64 264
65 270
66 276
67 282
68 288
69 294
70 300
71 306
72 312
73 318
74 324
75 330
76 336
77 342
78 348
79 354
80 360
81 366
82 372
83 378
84 384
85 390
86 396
87 402
88 408
89 414
90 420
91 426
92 432
93 438
94 444
95 450
96 456
97 462
98 468
99 474
100 480
