1 0
2 1
3 3
4 4
5 6
6 13
7 12
8 16
9 17
10 22
11 25
12 28
13 39
14 42
15 53
16 46
17 62
18 55
19 56
20 67
21 93
22 83
23 81
24 89
25 89
26 115
27 150
28 113
29 106
30 110
31 133
32 122
33 144
34 147
35 138
36 190
37 150
38 164
39 192
40 169
41 226
42 180
43 182
44 199
45 204
46 277
47 200
48 258
49 269
50 274
51 226
52 269
53 287
54 243
55 286
56 263
57 326
58 286
59 424
60 380
61 297
62 338
63 340
64 340
65 378
66 439
67 393
68 367
69 362
70 417
71 559
72 415
73 429
74 364
75 440
76 403
77 437
78 450
79 471
80 492
81 484
82 588
83 554
84 461
85 513
86 488
87 564
88 552
89 565
90 503
91 534
92 542
93 661
94 592
95 709
96 577
97 574
98 707
99 653
100 641

