1 70 70 70 391
2 70 139 135 364
3 70 207 142 405
4 70 274 199 415
5 70 340 179 445
6 70 405 204 460
7 70 469 219 475
8 70 532 228 495
9 70 594 240 532
10 70 655 259 520
11 70 715 291 547
12 70 774 298 509
13 70 832 300 508
14 70 889 305 529
15 70 945 312 566
16 70 1000 327 547
17 70 1054 337 554
18 70 1107 347 590
19 70 1159 358 583
20 70 1210 356 620
21 70 1260 386 609
22 70 1309 377 605
23 70 1357 395 642
24 70 1404 394 644
25 70 1450 407 642
26 70 1495 413 653
27 70 1539 415 665
28 70 1582 420 650
29 70 1624 431 653
30 70 1665 435 667
31 70 1705 439 686
32 70 1744 446 695
33 70 1782 458 710
34 70 1819 460 722
35 70 1855 474 702
36 70 1890 481 714
37 70 1924 491 752
38 70 1957 501 748
39 70 1989 502 755
40 70 2020 515 768
41 70 2050 515 776
42 70 2079 530 775
43 70 2107 528 781
44 70 2134 536 798
45 70 2160 548 819
46 70 2185 554 814
47 70 2209 560 836
48 70 2232 557 832
49 70 2254 579 839
50 70 2275 569 837
51 70 2295 591 851
52 70 2314 597 854
53 70 2332 589 865
54 70 2349 611 865
55 70 2365 615 881
56 70 2380 619 891
57 70 2394 624 893
58 70 2407 633 905
59 70 2419 643 903
60 70 2430 645 919
61 70 2440 650 928
62 70 2449 656 933
63 70 2457 662 928
64 70 2464 673 954
65 70 2470 683 954
66 70 2475 688 957
67 70 2479 697 976
68 70 2482 688 961
69 70 2484 707 988
70 70 2485 709 987
