1 100 100 100 556
2 100 199 174 632
3 100 297 201 644
4 100 394 226 669
5 100 490 261 680
6 100 585 300 702
7 100 679 306 726
8 100 772 330 747
9 100 864 356 742
10 100 955 352 756
11 100 1045 389 755
12 100 1134 395 772
13 100 1222 406 819
14 100 1309 403 812
15 100 1395 434 848
16 100 1480 441 842
17 100 1564 493 831
18 100 1647 470 873
19 100 1729 474 875
20 100 1810 510 917
21 100 1890 487 914
22 100 1969 506 927
23 100 2047 517 912
24 100 2124 541 920
25 100 2200 543 915
26 100 2275 554 945
27 100 2349 555 933
28 100 2422 569 955
29 100 2494 583 983
30 100 2565 585 984
31 100 2635 591 995
32 100 2704 599 1002
33 100 2772 607 1017
34 100 2839 627 1017
35 100 2905 626 1011
36 100 2970 633 1030
37 100 3034 658 1048
38 100 3097 661 1051
39 100 3159 656 1073
40 100 3220 673 1066
41 100 3280 681 1061
42 100 3339 692 1063
43 100 3397 704 1090
44 100 3454 711 1119
45 100 3510 708 1104
46 100 3565 723 1116
47 100 3619 727 1141
48 100 3672 735 1125
49 100 3724 746 1155
50 100 3775 754 1118
51 100 3825 764 1164
52 100 3874 769 1177
53 100 3922 769 1162
54 100 3969 787 1204
55 100 4015 785 1202
56 100 4060 786 1212
57 100 4104 808 1209
58 100 4147 811 1240
59 100 4189 823 1236
60 100 4230 827 1232
61 100 4270 825 1230
62 100 4309 839 1254
63 100 4347 843 1270
64 100 4384 856 1281
65 100 4420 871 1288
66 100 4455 869 1286
67 100 4489 879 1316
68 100 4522 885 1302
69 100 4554 894 1325
70 100 4585 911 1319
71 100 4615 920 1346
72 100 4644 917 1349
73 100 4672 916 1334
74 100 4699 934 1344
75 100 4725 943 1369
76 100 4750 946 1376
77 100 4774 954 1380
78 100 4797 962 1395
79 100 4819 961 1398
80 100 4840 974 1403
81 100 4860 975 1398
82 100 4879 992 1430
83 100 4897 990 1435
84 100 4914 1007 1435
85 100 4930 1016 1445
86 100 4945 1012 1460
87 100 4959 1013 1449
88 100 4972 1033 1472
89 100 4984 1052 1489
90 100 4995 1041 1485
91 100 5005 1057 1502
92 100 5014 1063 1500
93 100 5022 1068 1512
94 100 5029 1067 1521
95 100 5035 1080 1522
96 100 5040 1095 1555
97 100 5044 1103 1558
98 100 5047 1109 1553
99 100 5049 1117 1570
100 100 5050 1116 1562
